Полный
Кол-во вершин;Дейкстры;Флойда-Уоршела;Форда-Беллмана;A-star
10;14400;23491;6925;6658
60;2196533;3365300;1334108;232341
110;14820200;20017733;8307875;347508
160;44560108;59970283;25333783;706383
210;101887591;133383108;57590091;743916
260;186532591;250474841;109736758;1118533
310;314483766;420779200;184238141;3299950
360;527109683;656087741;292440383;5095649
410;763481966;965709542;432881566;1968833
460;1114162041;1359942133;607425525;5436108
510;1440479191;1846831808;825390358;8928116
560;2022277858;2440182674;1096132516;12168425
610;2678883733;3146756175;1418886908;11074591
660;3365757116;3981634766;1800241200;20855717
710;4222658250;4953493866;2230794975;5941016
760;5326576033;6061908058;2742689625;14584425
810;6412560075;7593471933;3308226933;19478733
860;7598504575;8766749800;3984757424;15390708
910;9012113975;10375774483;4708531066;20943300
960;10384598333;12173624608;5540135625;64139816
1010;12546042425;14161408442;6450586417;16616041
