Полный
Кол-во ребер;Дейкстры;Флойда-Уоршела;Форда-Беллмана;A-star
48;17574;24716;7483;6058
1748;2071833;3360667;1318300;54774
5892;13872783;20012241;8093241;156100
12622;42213691;59950249;25252233;314116
21790;99653291;134384575;57413724;752083
33428;201944008;250196416;108857399;1829283
47658;324275425;421011141;184943833;2457299
64614;521402816;656372125;290383000;2149750
83608;784675600;966162766;427994766;2745766
106114;1121932149;1358937716;609254150;2519133
130378;1501181608;1847724500;831357800;9010967
157088;1963098741;2438220241;1097291308;8008300
185434;2675158750;3147760091;1414345250;21136150
217560;3369825375;3980253625;1794859774;20695758
252018;4206167758;4948423016;2236583850;19551541
288244;5196696191;6062470583;2739715458;19842408
327798;6184033775;7327743233;3320860316;25316516
369034;7608340575;8764672091;3972495316;15326974
413784;8935437308;10374024358;4717122433;13526816
460216;10604788724;12172503458;5529203783;10914208
510002;12134110666;14161311125;6451992591;12034841
