Разреженный
Кол-во вершин;Дейкстры;Флойда-Уоршела;Форда-Беллмана;A-star
10;13475;24191;6825;11175
60;2374425;3374458;1314175;72933
110;13759700;19879041;8055874;218008
160;45211391;59789841;25210591;1141058
210;97419349;133644641;57343858;1557775
260;193688258;250099666;110160283;1456883
310;317675475;420675299;186383283;1582633
360;496149275;655939525;288299874;1533966
410;772910708;965230366;427224983;1956341
460;1092322242;1358002108;610464367;9288608
510;1508777600;1847414491;824837775;7763924
560;2019650433;2439845450;1089740250;3730483
610;2757686600;3146958108;1415349033;9414950
660;3334060558;3980224025;1800598183;5158675
710;4284798624;4947479108;2236075708;8236591
760;5159289525;6061671441;2738637025;19675491
810;6245336391;7328998624;3322662850;13602816
860;7661114433;8766523416;3982338100;28504191
910;8962314766;10372573500;4714875583;17264075
960;10551715916;12174049825;5536231591;23246683
1010;12120641050;14167369908;6455575916;25737308
