Разреженный
Кол-во ребер;Дейкстры;Флойда-Уоршела;Форда-Беллмана;A-star
34;12233;22250;5558;4208
1800;2187808;3326983;1355033;51358
5982;14474499;19858299;8221941;161441
12688;45151308;59795800;25391442;321191
21928;105402816;133168408;57647700;545800
33322;193299200;249920658;108419008;1425891
47762;328289041;421158124;185061658;5039991
64368;516301183;655794866;289055399;3874308
83938;766232341;965414550;430340091;5775525
106104;1116963833;1359878808;608960216;2515566
129892;1547894149;1846439783;827744900;8944808
155640;1995057950;2715543166;1321467208;11135908
185780;2690868908;3238700675;1471583500;4440291
217868;3330761458;4009364300;2005205183;15063633
251866;4259426050;4950404983;2237021125;10491458
288510;5161826891;6062986074;2742827491;6811600
326518;6337409341;7329846833;3306946775;13594650
368722;7553292849;8770328516;3967659241;18633333
413204;8943593116;10368361600;4705761358;13462758
460244;10666320950;12171899183;5530198941;31441333
509058;12535664441;14168127258;6436979383;39286683
