Связный
Кол-во вершин;Дейкстры;Флойда-Уоршела;Форда-Беллмана;A-star
10;16041;23808;7616;7000
60;2119175;3328816;1326708;91900
110;14010433;19884050;8244650;343150
160;42268383;59812875;25667883;924983
210;95099183;133228375;57689625;1571466
260;188437683;250452999;110210225;815000
310;323403083;421514091;186409533;2921741
360;519741258;656042541;290060833;1532291
410;751634916;965026400;427940467;5003116
460;1085688883;1373403566;609544949;5402766
510;1456011408;7605600000;827453708;4274825
560;2036472816;2439293983;1093613025;6580933
610;7740162391;3145058033;1421885141;9455741
660;3280471425;128299834216;1917180600;9201000
710;4154600066;4990639016;2245143816;28541816
760;5312051408;6067089791;2751741400;12068366
810;6478274375;7332793858;3323027742;10664050
860;7547184025;8768681133;3981967591;22040283
910;9068425116;10380403716;4717800883;20942833
960;10360428533;12168799308;5532749366;15003799
1010;12220239608;14167179666;6440096550;30268024
