Связный
Кол-во ребер;Дейкстры;Флойда-Уоршела;Форда-Беллмана;A-star
58;19741;24441;8566;6174
1666;1992841;3363357;1250466;88400
5824;13912983;19992516;7978516;272275
12812;45242933;59796658;25634658;1169225
22148;98663508;133164533;58373166;1394525
33784;189284233;250349075;109945391;3030617
47492;321409608;421535633;183971008;1140141
64886;512836025;655864333;291768716;2741116
83512;787325808;963974066;428410558;2776508
105390;1113298983;1359015716;605844941;14770383
130052;1500809908;1844893108;827870941;10132575
156166;2027567833;2439410200;1091294816;5113241
185910;2627607966;3147979775;1415527425;7801583
218432;3247136775;3977563391;1802726458;7179225
251350;4004172458;4949250258;2231405158;12710333
288658;5069373383;6062266325;2744904233;17139075
327926;6315973783;7333047066;3321806883;19548158
370086;7545954950;8764725491;3983717383;38489183
413206;8927911208;10374824758;4708014075;20833458
459696;10239842900;12172966166;5525695092;14992258
507682;12288213416;14163632974;6418794133;16573366
